architecture,baseline_avg,baseline_stdev,M1_avg,M1_stdev,M2_avg,M2_stdev,M4_avg,M4_stdev,M8_avg,M8_stdev,
1,87.44666667,0.06,76.43,0.13,77.89,0.13,79.06666667,0.14,78.6,0.06,
2,87.69,0.08,78.12,0.12,80.12,0.13,80.34333333,0.11,79.76333333,0.11,
3,87.89166667,0.17,79.62,0.19,81.08,0.07,81.2,0.14,80.13333333,0.09,
4,88.60166667,0.15,80.78,0.17,81.49,0.16,81.25,0.17,81.41333333,0.11,
5,89.38333333,0.07,80.42,0.18,81.92,0.17,82.14333333,0.11,82.32333333,0.08,
6,90.12666667,0.14,79.85,0.19,81.54,0.08,82.29,0.12,81.97666667,0.11,
7,90.16333333,0.1,79.37,0.19,81.22,0.06,82.18333333,0.17,81.17,0.09,
8,89.406,0.15,78.87,0.06,81.13,0.1,81.86333333,0.17,81.24,0.19,
9,88.78333333,0.1,79.77,0.1,80.57,0.11,81.17,0.08,80.92666667,0.18,
10,89.025,0.12,81.01,0.17,81.2,0.2,81.96333333,0.08,82.25333333,0.16,
11,90.415,0.1,82.85,0.07,82.99,0.08,83.39333333,0.13,82.90333333,0.13,
12,90.56833333,0.11,82.64,0.13,83.86,0.2,83.67666667,0.13,83.91666667,0.06,
13,90.89166667,0.07,82.12,0.18,83.71,0.11,84.12666667,0.18,83.91,0.19,
14,91.005,0.13,82.16,0.2,83.6,0.09,83.34,0.16,83.15333333,0.18,
15,90.21666667,0.18,81.73,0.2,83.55,0.16,83.19666667,0.11,83.11333333,0.12,
16,89.10166667,0.06,80.24,0.19,81.69,0.12,81.78666667,0.17,82.33666667,0.12,
17,89.70166667,0.1,83.08,0.06,82.74,0.12,83.41666667,0.07,83.48,0.09,
18,90.60666667,0.17,82.98,0.12,83.83,0.17,83.89333333,0.19,84.17333333,0.14,
19,90.92166667,0.1,82.58,0.09,83.94,0.11,84.10666667,0.09,84.28333333,0.08,
20,90.875,0.08,82.22,0.09,83.78,0.07,83.54,0.2,84.10666667,0.19,
21,90.14,0.16,81.86,0.11,83.63,0.06,83.33666667,0.17,84.06,0.08,
22,89.67833333,0.14,83.64,0.1,83.24,0.06,83.69333333,0.11,83.82,0.16,
23,90.34166667,0.13,83.71,0.13,84.27,0.06,84.67,0.18,84.59666667,0.15,
24,90.51666667,0.15,83.11,0.16,84.32,0.07,84.35666667,0.1,84.64333333,0.19,
25,90.845,0.12,83.18,0.12,83.91,0.06,84.08,0.15,84.34,0.14,
26,89.705,0.16,82.83,0.19,83.91,0.1,84.01333333,0.15,84.31666667,0.07,
27,91.04833333,0.15,82.35,0.16,83.39,0.11,84.76,0.18,85.42,0.06,
28,90.95666667,0.15,81.83,0.11,83.07,0.2,84.82666667,0.13,85.66333333,0.12,
29,91.54666667,0.09,82.29,0.06,83.09,0.14,84.35333333,0.15,84.84,0.11,
30,89.84,0.08,82.03,0.06,82.99,0.14,84.15,0.1,84.65,0.09,
31,91.775,0.11,79.78,0.18,82.77,0.2,84.00333333,0.2,84.61333333,0.08,
32,91.83,0.13,80.2,0.11,82.81,0.14,84.40333333,0.18,84.12666667,0.14,
33,90.96333333,0.12,79.61,0.08,82.43,0.08,84.31,0.14,84.07333333,0.06,
34,92.01166667,0.18,78.06,0.17,80.98,0.16,83.51,0.11,83.63666667,0.09,
35,90.46833333,0.11,77.49,0.17,80.64,0.15,83.34333333,0.13,83.62666667,0.15,
36,89.99166667,0.12,73.73,0.2,77.58,0.1,81.26,0.16,81.94,0.17,
