number,bock1,block2,block3,block4
0,1,1,1,13
1,1,1,2,12
2,1,1,3,11
3,1,1,4,10
4,1,1,5,9
5,1,1,6,8
6,1,1,7,7
7,1,1,8,6
8,1,1,9,5
9,1,1,10,4
10,1,1,11,3
11,1,1,12,2
12,1,1,13,1
13,1,2,1,12
14,1,2,2,11
15,1,2,3,10
16,1,2,4,9
17,1,2,5,8
18,1,2,6,7
19,1,2,7,6
20,1,2,8,5
21,1,2,9,4
22,1,2,10,3
23,1,2,11,2
24,1,2,12,1
25,1,3,1,11
26,1,3,2,10
27,1,3,3,9
28,1,3,4,8
29,1,3,5,7
30,1,3,6,6
31,1,3,7,5
32,1,3,8,4
33,1,3,9,3
34,1,3,10,2
35,1,3,11,1
36,1,4,1,10
37,1,4,2,9
38,1,4,3,8
39,1,4,4,7
40,1,4,5,6
41,1,4,6,5
42,1,4,7,4
43,1,4,8,3
44,1,4,9,2
45,1,4,10,1
46,1,5,1,9
47,1,5,2,8
48,1,5,3,7
49,1,5,4,6
50,1,5,5,5
51,1,5,6,4
52,1,5,7,3
53,1,5,8,2
54,1,5,9,1
55,1,6,1,8
56,1,6,2,7
57,1,6,3,6
58,1,6,4,5
59,1,6,5,4
60,1,6,6,3
61,1,6,7,2
62,1,6,8,1
63,1,7,1,7
64,1,7,2,6
65,1,7,3,5
66,1,7,4,4
67,1,7,5,3
68,1,7,6,2
69,1,7,7,1
70,1,8,1,6
71,1,8,2,5
72,1,8,3,4
73,1,8,4,3
74,1,8,5,2
75,1,8,6,1
76,1,9,1,5
77,1,9,2,4
78,1,9,3,3
79,1,9,4,2
80,1,9,5,1
81,1,10,1,4
82,1,10,2,3
83,1,10,3,2
84,1,10,4,1
85,1,11,1,3
86,1,11,2,2
87,1,11,3,1
88,1,12,1,2
89,1,12,2,1
90,1,13,1,1
91,2,1,1,12
92,2,1,2,11
93,2,1,3,10
94,2,1,4,9
95,2,1,5,8
96,2,1,6,7
97,2,1,7,6
98,2,1,8,5
99,2,1,9,4
100,2,1,10,3
101,2,1,11,2
102,2,1,12,1
103,2,2,1,11
104,2,2,2,10
105,2,2,3,9
106,2,2,4,8
107,2,2,5,7
108,2,2,6,6
109,2,2,7,5
110,2,2,8,4
111,2,2,9,3
112,2,2,10,2
113,2,2,11,1
114,2,3,1,10
115,2,3,2,9
116,2,3,3,8
117,2,3,4,7
118,2,3,5,6
119,2,3,6,5
120,2,3,7,4
121,2,3,8,3
122,2,3,9,2
123,2,3,10,1
124,2,4,1,9
125,2,4,2,8
126,2,4,3,7
127,2,4,4,6
128,2,4,5,5
129,2,4,6,4
130,2,4,7,3
131,2,4,8,2
132,2,4,9,1
133,2,5,1,8
134,2,5,2,7
135,2,5,3,6
136,2,5,4,5
137,2,5,5,4
138,2,5,6,3
139,2,5,7,2
140,2,5,8,1
141,2,6,1,7
142,2,6,2,6
143,2,6,3,5
144,2,6,4,4
145,2,6,5,3
146,2,6,6,2
147,2,6,7,1
148,2,7,1,6
149,2,7,2,5
150,2,7,3,4
151,2,7,4,3
152,2,7,5,2
153,2,7,6,1
154,2,8,1,5
155,2,8,2,4
156,2,8,3,3
157,2,8,4,2
158,2,8,5,1
159,2,9,1,4
160,2,9,2,3
161,2,9,3,2
162,2,9,4,1
163,2,10,1,3
164,2,10,2,2
165,2,10,3,1
166,2,11,1,2
167,2,11,2,1
168,2,12,1,1
169,3,1,1,11
170,3,1,2,10
171,3,1,3,9
172,3,1,4,8
173,3,1,5,7
174,3,1,6,6
175,3,1,7,5
176,3,1,8,4
177,3,1,9,3
178,3,1,10,2
179,3,1,11,1
180,3,2,1,10
181,3,2,2,9
182,3,2,3,8
183,3,2,4,7
184,3,2,5,6
185,3,2,6,5
186,3,2,7,4
187,3,2,8,3
188,3,2,9,2
189,3,2,10,1
190,3,3,1,9
191,3,3,2,8
192,3,3,3,7
193,3,3,4,6
194,3,3,5,5
195,3,3,6,4
196,3,3,7,3
197,3,3,8,2
198,3,3,9,1
199,3,4,1,8
200,3,4,2,7
201,3,4,3,6
202,3,4,4,5
203,3,4,5,4
204,3,4,6,3
205,3,4,7,2
206,3,4,8,1
207,3,5,1,7
208,3,5,2,6
209,3,5,3,5
210,3,5,4,4
211,3,5,5,3
212,3,5,6,2
213,3,5,7,1
214,3,6,1,6
215,3,6,2,5
216,3,6,3,4
217,3,6,4,3
218,3,6,5,2
219,3,6,6,1
220,3,7,1,5
221,3,7,2,4
222,3,7,3,3
223,3,7,4,2
224,3,7,5,1
225,3,8,1,4
226,3,8,2,3
227,3,8,3,2
228,3,8,4,1
229,3,9,1,3
230,3,9,2,2
231,3,9,3,1
232,3,10,1,2
233,3,10,2,1
234,3,11,1,1
235,4,1,1,10
236,4,1,2,9
237,4,1,3,8
238,4,1,4,7
239,4,1,5,6
240,4,1,6,5
241,4,1,7,4
242,4,1,8,3
243,4,1,9,2
244,4,1,10,1
245,4,2,1,9
246,4,2,2,8
247,4,2,3,7
248,4,2,4,6
249,4,2,5,5
250,4,2,6,4
251,4,2,7,3
252,4,2,8,2
253,4,2,9,1
254,4,3,1,8
255,4,3,2,7
256,4,3,3,6
257,4,3,4,5
258,4,3,5,4
259,4,3,6,3
260,4,3,7,2
261,4,3,8,1
262,4,4,1,7
263,4,4,2,6
264,4,4,3,5
265,4,4,4,4
266,4,4,5,3
267,4,4,6,2
268,4,4,7,1
269,4,5,1,6
270,4,5,2,5
271,4,5,3,4
272,4,5,4,3
273,4,5,5,2
274,4,5,6,1
275,4,6,1,5
276,4,6,2,4
277,4,6,3,3
278,4,6,4,2
279,4,6,5,1
280,4,7,1,4
281,4,7,2,3
282,4,7,3,2
283,4,7,4,1
284,4,8,1,3
285,4,8,2,2
286,4,8,3,1
287,4,9,1,2
288,4,9,2,1
289,4,10,1,1
290,5,1,1,9
291,5,1,2,8
292,5,1,3,7
293,5,1,4,6
294,5,1,5,5
295,5,1,6,4
296,5,1,7,3
297,5,1,8,2
298,5,1,9,1
299,5,2,1,8
300,5,2,2,7
301,5,2,3,6
302,5,2,4,5
303,5,2,5,4
304,5,2,6,3
305,5,2,7,2
306,5,2,8,1
307,5,3,1,7
308,5,3,2,6
309,5,3,3,5
310,5,3,4,4
311,5,3,5,3
312,5,3,6,2
313,5,3,7,1
314,5,4,1,6
315,5,4,2,5
316,5,4,3,4
317,5,4,4,3
318,5,4,5,2
319,5,4,6,1
320,5,5,1,5
321,5,5,2,4
322,5,5,3,3
323,5,5,4,2
324,5,5,5,1
325,5,6,1,4
326,5,6,2,3
327,5,6,3,2
328,5,6,4,1
329,5,7,1,3
330,5,7,2,2
331,5,7,3,1
332,5,8,1,2
333,5,8,2,1
334,5,9,1,1
335,6,1,1,8
336,6,1,2,7
337,6,1,3,6
338,6,1,4,5
339,6,1,5,4
340,6,1,6,3
341,6,1,7,2
342,6,1,8,1
343,6,2,1,7
344,6,2,2,6
