number,block1,block2,block3,code
1,1,1,8,"0,1,1,0,0,0,0,0,0,0"
2,1,2,7,"0,1,0,1,0,0,0,0,0,0"
3,1,3,6,"0,1,0,0,1,0,0,0,0,0"
4,1,4,5,"0,1,0,0,0,1,0,0,0,0"
5,1,5,4,"0,1,0,0,0,0,1,0,0,0"
6,1,6,3,"0,1,0,0,0,0,0,1,0,0"
7,1,7,2,"0,1,0,0,0,0,0,0,1,0"
8,1,8,1,"0,1,0,0,0,0,0,0,0,1"
9,2,1,7,"0,0,1,1,0,0,0,0,0,0"
10,2,2,6,"0,0,1,0,1,0,0,0,0,0"
11,2,3,5,"0,0,1,0,0,1,0,0,0,0"
12,2,4,4,"0,0,1,0,0,0,1,0,0,0"
13,2,5,3,"0,0,1,0,0,0,0,1,0,0"
14,2,6,2,"0,0,1,0,0,0,0,0,1,0"
15,2,7,1,"0,0,1,0,0,0,0,0,0,1"
16,3,1,6,"0,0,0,1,1,0,0,0,0,0"
17,3,2,5,"0,0,0,1,0,1,0,0,0,0"
18,3,3,4,"0,0,0,1,0,0,1,0,0,0"
19,3,4,3,"0,0,0,1,0,0,0,1,0,0"
20,3,5,2,"0,0,0,1,0,0,0,0,1,0"
21,3,6,1,"0,0,0,1,0,0,0,0,0,1"
22,4,1,5,"0,0,0,0,1,1,0,0,0,0"
23,4,2,4,"0,0,0,0,1,0,1,0,0,0"
24,4,3,3,"0,0,0,0,1,0,0,1,0,0"
25,4,4,2,"0,0,0,0,1,0,0,0,1,0"
26,4,5,1,"0,0,0,0,1,0,0,0,0,1"
27,5,1,4,"0,0,0,0,0,1,1,0,0,0"
28,5,2,3,"0,0,0,0,0,1,0,1,0,0"
29,5,3,2,"0,0,0,0,0,1,0,0,1,0"
30,5,4,1,"0,0,0,0,0,1,0,0,0,1"
31,6,1,3,"0,0,0,0,0,0,1,1,0,0"
32,6,2,2,"0,0,0,0,0,0,1,0,1,0"
33,6,3,1,"0,0,0,0,0,0,1,0,0,1"
34,7,1,2,"0,0,0,0,0,0,0,1,1,0"
35,7,2,1,"0,0,0,0,0,0,0,1,0,1"
36,8,1,1,"0,0,0,0,0,0,0,0,1,1"
